<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.06	00:30:00	2639.399	2639.953	2638.846	2639.149	902	0	160
2025.01.06	00:45:00	2639.124	2643.343	2638.883	2643.191	1319	0	160
2025.01.06	01:00:00	2643.223	2644.824	2640.748	2644.512	2654	0	160
2025.01.06	01:15:00	2644.566	2647.426	2644.520	2645.575	2079	0	159
2025.01.06	01:30:00	2645.518	2645.626	2642.699	2643.455	1777	0	159
2025.01.06	01:45:00	2643.451	2644.116	2641.209	2641.322	1696	0	159
2025.01.06	02:00:00	2641.333	2644.227	2639.726	2643.611	1944	0	159
2025.01.06	02:15:00	2643.612	2644.419	2641.994	2643.379	1186	0	160
2025.01.06	02:30:00	2643.426	2645.295	2642.935	2644.150	1479	0	160
2025.01.06	02:45:00	2644.153	2645.003	2643.375	2644.523	1354	0	159
2025.01.06	03:00:00	2644.487	2645.345	2643.432	2643.788	1527	0	159
2025.01.06	03:15:00	2643.770	2643.770	2640.766	2642.141	1406	0	160
2025.01.06	03:30:00	2642.131	2642.157	2639.921	2640.724	1102	0	159
2025.01.06	03:45:00	2640.725	2641.230	2639.137	2640.190	1070	0	159
2025.01.06	04:00:00	2640.203	2640.824	2637.096	2638.274	1027	0	160
2025.01.06	04:15:00	2638.298	2638.901	2634.992	2637.915	2062	0	159
2025.01.06	04:30:00	2637.889	2638.600	2636.054	2636.807	979	0	159
2025.01.06	04:45:00	2636.865	2637.302	2634.197	2635.534	1435	0	160
2025.01.06	05:00:00	2635.531	2636.217	2634.325	2634.866	1231	0	160
2025.01.06	05:15:00	2634.870	2635.825	2634.200	2634.287	1279	0	160
2025.01.06	05:30:00	2634.254	2635.001	2632.283	2632.920	2864	0	159
2025.01.06	05:45:00	2632.945	2634.225	2631.450	2633.892	1497	0	159
2025.01.06	06:00:00	2633.879	2635.346	2633.254	2634.334	1420	0	159
2025.01.06	06:15:00	2634.331	2635.130	2630.726	2631.461	1632	0	159
2025.01.06	06:30:00	2631.451	2632.108	2630.173	2631.689	1579	0	159
2025.01.06	06:45:00	2631.727	2632.475	2631.063	2631.535	1387	0	159
2025.01.06	07:00:00	2631.460	2633.634	2631.146	2632.051	1682	0	159
2025.01.06	07:15:00	2632.123	2632.162	2630.094	2630.984	1384	0	160
2025.01.06	07:30:00	2630.993	2631.176	2625.058	2625.767	2138	0	159
2025.01.06	07:45:00	2625.743	2627.740	2625.396	2626.922	1482	0	159
2025.01.06	08:00:00	2626.852	2628.221	2625.764	2628.114	1684	0	160
2025.01.06	08:15:00	2628.122	2630.007	2627.215	2629.768	1510	0	160
2025.01.06	08:30:00	2629.763	2630.644	2627.239	2627.893	1513	0	159
2025.01.06	08:45:00	2627.879	2632.547	2627.370	2631.506	1653	0	159
2025.01.06	09:00:00	2631.427	2635.074	2631.164	2634.852	2086	0	159
2025.01.06	09:15:00	2634.876	2635.723	2633.175	2633.312	1645	0	159
2025.01.06	09:30:00	2633.312	2634.600	2632.590	2633.742	1266	0	159
2025.01.06	09:45:00	2633.787	2633.787	2631.536	2632.699	1147	0	159
2025.01.06	10:00:00	2632.713	2633.342	2631.177	2631.341	1127	0	159
2025.01.06	10:15:00	2631.349	2633.444	2631.137	2632.562	1107	0	159
2025.01.06	10:30:00	2632.557	2633.039	2630.930	2632.951	1269	0	159
2025.01.06	10:45:00	2633.008	2635.056	2632.241	2633.825	1411	0	159
2025.01.06	11:00:00	2633.852	2637.163	2632.515	2636.302	2364	0	159
2025.01.06	11:15:00	2636.265	2645.282	2636.132	2644.852	4640	0	159
2025.01.06	11:30:00	2644.883	2649.409	2643.510	2648.812	4950	0	159
2025.01.06	11:45:00	2648.848	2649.515	2644.905	2645.588	2672	0	159
2025.01.06	12:00:00	2645.553	2647.024	2642.525	2643.917	2473	0	160
2025.01.06	12:15:00	2643.872	2645.450	2642.317	2642.424	2414	0	159
2025.01.06	12:30:00	2642.394	2646.749	2641.973	2644.660	2004	0	159
2025.01.06	12:45:00	2644.700	2647.861	2642.650	2645.426	2069	0	159
2025.01.06	13:00:00	2645.366	2648.848	2643.343	2646.030	3392	0	159
2025.01.06	13:15:00	2646.048	2646.346	2641.856	2642.353	4023	0	159
2025.01.06	13:30:00	2642.392	2642.553	2624.212	2624.804	8043	0	159
2025.01.06	13:45:00	2624.759	2627.300	2621.685	2624.241	6662	0	159
2025.01.06	14:00:00	2624.221	2629.963	2622.619	2626.904	5428	0	159
2025.01.06	14:15:00	2626.933	2628.642	2614.419	2625.639	9635	0	159
2025.01.06	14:30:00	2625.690	2628.598	2622.593	2624.155	6950	0	159
2025.01.06	14:45:00	2624.214	2635.030	2624.214	2631.588	5990	0	159
2025.01.06	15:00:00	2631.577	2635.449	2630.114	2631.511	4894	0	159
2025.01.06	15:15:00	2631.548	2639.587	2629.392	2639.030	4268	0	159
2025.01.06	15:30:00	2639.064	2639.537	2633.114	2635.142	4271	0	159
2025.01.06	15:45:00	2635.181	2636.720	2632.191	2634.392	3683	0	159
2025.01.06	16:00:00	2634.425	2637.421	2632.506	2636.835	2646	0	160
2025.01.06	16:15:00	2636.821	2638.901	2635.347	2638.499	2740	0	159
2025.01.06	16:30:00	2638.502	2641.000	2638.132	2640.237	2250	0	159
2025.01.06	16:45:00	2640.309	2641.378	2638.654	2640.729	1953	0	159
2025.01.06	17:00:00	2640.727	2641.048	2638.876	2639.434	1750	0	159
2025.01.06	17:15:00	2639.410	2640.066	2636.712	2637.353	1710	0	159
2025.01.06	17:30:00	2637.339	2637.502	2635.797	2636.109	1551	0	159
2025.01.06	17:45:00	2636.074	2636.927	2634.150	2636.636	1504	0	159
2025.01.06	18:00:00	2636.687	2637.471	2633.724	2635.352	1943	0	160
2025.01.06	18:15:00	2635.394	2638.576	2635.018	2636.286	1915	0	159
2025.01.06	18:30:00	2636.249	2636.972	2634.738	2636.094	1594	0	159
2025.01.06	18:45:00	2636.145	2636.602	2634.514	2634.619	1462	0	159
2025.01.06	19:00:00	2634.583	2634.796	2632.859	2633.927	1658	0	160
2025.01.06	19:15:00	2633.916	2635.022	2633.426	2634.508	1438	0	160
